inter_id,user_id,item_id,timestamp,rating,emo_pre_valence,emo_pre_arousal,emo_post_valence,emo_post_arousal,duration,rec_type,time_period,weather_type,pressure,temperature,humidity,longitude,latitude,speed,hr_mean,hr_std,intensity_mean,steps_sum,activity_dominant,activity_label,valence,energy,general_genre,music,singer,mood_bucket,mood_bucket_id,time_label,weather_label,hr_level,valence_shift,arousal_shift
1,1,529,1625103746,1,0.35,-0.4575,-0.2740638286973004,0.1498386353158137,,,1,2,996,22,83,2866152.8000000003,24065.5635611912,0.6760684,15.981407818334326,14.54732697859721,42.56666666666667,360.0,1,Act→Still,0.792,0.948,hip-hop,Where The Hood At,DMX,happy-energetic,0.0,Morning,Cloudy,Mid HR,-0.6240638286973004,0.6073386353158137
2,1,707,1625121151,3,0.4775,-0.3725,0.1229445212847702,0.6364940320680293,,,2,1,995,28,62,2866150.800000001,24061.333401190805,0.6760684,16.86474115166766,17.059015211904818,42.93333333333333,573.0,0,Still,0.521,0.98,rock,The Good Left Undone,Rise Against,tense-dark,2.0,Afternoon,Clear,Mid HR,-0.3545554787152298,1.0089940320680293
3,1,491,1625126852,3,0.4775,-0.0825,0.3227293683725219,0.3521848265969981,,,2,1,995,28,72,2869525.321672779,31181.45054172881,21.712048,-4.685258848332343,7.805073136535408,24.166666666666668,26.0,0,Still,0.66,0.907,alternative,Everybody Loves Me,OneRepublic,tense-dark,2.0,Afternoon,Clear,Low HR,-0.15477063162747806,0.43468482659699814
4,1,401,1625132694,4,0.3225,0.49,0.4892167409456483,-0.2266789611187952,,,2,2,999,22,93,2875035.7000000007,35689.4866411912,0.16191270000000002,-7.168592181665678,3.636237371545239,15.966666666666667,0.0,0,Still,,,,,,unknown,,Afternoon,Cloudy,Low HR,0.1667167409456483,-0.7166789611187951
5,1,114,1625135931,2,-0.4025,-0.355,-0.1101378003176066,-0.0806823420931304,,,3,2,999,22,97,2875035.5000000014,35689.4866411912,0.16191270000000002,-7.868592181665679,7.2179560049150275,19.066666666666666,22.0,4,Lying,0.847,0.731,hip-hop,Smoke Buddah,Redman,happy-energetic,0.0,Evening,Cloudy,Low HR,0.2923621996823934,0.27431765790686957
6,1,126,1625137923,3,0.335,-0.2625,0.0384201629014907,0.380359612724758,,,3,2,997,22,96,2874949.4000000013,36218.47928119079,0.16191270000000002,-14.985258848332341,4.581029724126807,4.766666666666667,0.0,4,Lying,0.9,0.75,rnb,Days Like These,The Cat Empire,happy-energetic,0.0,Evening,Cloudy,Low HR,-0.2965798370985093,0.642859612724758
7,1,516,1625152192,4,0.555,-0.0175,0.4098150709492342,-0.2113108959581988,,,3,0,1003,22,97,2874989.1000000006,36199.666201190834,0.13897973,-13.701925514999008,3.190959451673152,2.8333333333333335,0.0,4,Lying,0.0859,0.313,electronic,Fear And Love,Morcheeba,sad-melancholic,3.0,Evening,,Low HR,-0.14518492905076585,-0.19381089595819878
8,1,995,1625193393,4,0.04,-0.55,0.3329747451462528,-0.3060806311152093,,,1,1,1001,23,75,2874956.6,36220.14908119053,0.0,2.6314078183343224,8.720601406376106,21.366666666666667,0.0,0,Still,0.0366,0.283,other,Welcome To Lunar Industries,Clint Mansell,sad-melancholic,3.0,Morning,Clear,Low HR,0.2929747451462528,0.24391936888479077
9,1,588,1625196711,2,0.4675,-0.1175,0.0179294093540289,0.326571384662671,,,1,1,1001,26,66,2874952.5000000005,36198.998281190936,0.0,-6.60192551499901,3.885299931222242,0.7,0.0,2,Walking,0.8690000000000001,0.447,hip-hop,Graduation Day,Kanye West,calm-relaxed,1.0,Morning,Clear,Low HR,-0.4495705906459711,0.444071384662671
10,1,461,1625201703,4,0.155,-0.5025,0.3560268428871472,0.0140873930638799,,,2,0,1000,28,59,2874974.0000000005,35821.62348119059,0.0,14.41474115166766,11.757798830279981,42.3,367.0,0,Still,0.1689999999999999,0.8959999999999999,electronic,Watercolour,Pendulum,tense-dark,2.0,Afternoon,,Mid HR,0.2010268428871472,0.5165873930638798
11,1,627,1625204976,4,-0.0775,0.5375,-0.0153680651605962,0.3419394498232673,,,2,0,1000,29,56,2874995.0000000014,35811.04808119119,0.0,-3.0352588483323446,5.706137047074843,15.2,0.0,4,Lying,0.71,0.831,rnb,Love Rain,Jill Scott,tense-dark,2.0,Afternoon,,Low HR,0.062131934839403796,-0.19556055017673268
12,1,597,1625210462,4,-0.0275,0.4675,0.0896470467701449,0.5698990830387788,,,2,0,999,29,59,2874986.5,35738.578761192235,0.0,0.02147874032013791,11.3754995424177,27.533333333333335,76.0,0,Still,0.564,0.866,rock,Swim,Surfer Blood,tense-dark,2.0,Afternoon,,Low HR,0.1171470467701449,0.10239908303877876
13,1,100,1625216038,5,0.0575,0.455,0.5660570667486298,0.1882587982173044,,,2,1,999,29,54,2874981.000000001,35736.24104119102,0.0,0.6314078183343222,4.57153025680558,19.633333333333333,25.0,0,Still,0.604,0.371,pop,New Soul,Yael Naïm,sad-melancholic,3.0,Afternoon,Clear,Low HR,0.5085570667486298,-0.2667412017826956
14,1,156,1625219804,4,0.405,-0.0825,0.1792940935402899,0.4034117104656525,,,2,0,999,29,59,2874951.6,36216.030241190645,0.0,-8.83525884833234,3.4083231458690455,5.433333333333334,0.0,4,Lying,0.597,0.858,rock,Someday,Nickelback,tense-dark,2.0,Afternoon,,Low HR,-0.22570590645971012,0.4859117104656525
15,1,156,1625219804,4,-0.6825,-0.755,0.1792940935402899,0.4034117104656525,,,2,1,999,29,59,2874951.6,36216.030241190645,0.0,-8.83525884833234,3.4083231458690455,5.433333333333334,0.0,4,Lying,0.597,0.858,rock,Someday,Nickelback,tense-dark,2.0,Afternoon,Clear,Low HR,0.8617940935402899,1.1584117104656526
16,1,634,1625229395,4,0.205,-0.25,-0.3816402848214743,-0.3547461707904309,,,3,1,999,26,70,2869548.882164594,30212.036620605493,17.403010000000002,8.14807448500099,11.706467822912634,17.8,11.0,0,Still,0.7829999999999999,0.5379999999999999,indie,Cubism Dream,Local Natives,calm-relaxed,1.0,Evening,Clear,Mid HR,-0.5866402848214742,-0.10474617079043091
17,1,994,1625238461,3,0.4225,-0.3025,0.1203831770913375,0.4597612827211721,,,3,1,998,25,76,2866150.7,24063.003201190546,0.8376066999999999,-4.118592181665678,5.438571095017105,6.533333333333333,0.0,4,Lying,0.0635,0.527,rock,The Sprawl,Sonic Youth,sad-melancholic,3.0,Evening,Clear,Low HR,-0.3021168229086625,0.7622612827211721
18,1,289,1625284945,5,0.1675,-0.425,0.5122688386865427,-0.1447159469289483,,,1,0,996,25,63,2866150.5000000005,24059.886241190503,0.8376066999999999,8.881407818334326,19.439514454384454,21.666666666666668,0.0,0,Still,0.3929999999999999,0.222,indie,Tire Swing,Kimya Dawson,sad-melancholic,3.0,Morning,,Mid HR,0.34476883868654273,0.2802840530710517
19,1,19,1625298043,4,-0.0375,0.345,0.4174991035295323,0.4776906920752011,,,2,0,996,27,57,2837885.7441661935,0.0,0.1286698,2.842518929445433,8.65703881172161,21.333333333333332,15.0,0,Still,0.62,0.7709999999999999,other,Make Your Own Kind Of Music,Mama Cass Elliot,tense-dark,2.0,Afternoon,,Low HR,0.45499910352953227,0.13269069207520112
20,1,848,1625382750,4,0.3475,-0.29,0.5045848061062446,0.0345781466113416,,,2,0,996,30,38,2866154.1,24056.546641191027,0.33881986,28.414741151667656,5.564212359685193,8.933333333333334,0.0,4,Lying,0.924,0.83,pop,Day And Night,Billie Piper,happy-energetic,0.0,Afternoon,,Mid HR,0.1570848061062446,0.3245781466113416
21,1,776,1625397097,2,0.2675,-0.455,0.0435428512883561,0.4725680036883357,,,3,0,996,30,42,2866152.9000000004,24056.657961190744,0.33881986,-1.7519255149990112,5.709762594792264,12.8,0.0,4,Lying,0.5529999999999999,0.7070000000000001,electronic,Love Me Girl,Yeasayer,tense-dark,2.0,Evening,,Low HR,-0.2239571487116439,0.9275680036883357
22,1,89,1625400202,3,0.435,-0.0025,0.0179294093540289,0.4367091849802777,,,3,0,997,29,53,2866155.2,24058.99568119117,0.33881986,-0.08525884833234436,4.454866253136376,6.466666666666667,10.0,0,Still,0.221,0.6559999999999999,alternative,Climbing Up The Walls,Radiohead,sad-melancholic,3.0,Evening,,Low HR,-0.4170705906459711,0.4392091849802777
23,1,327,1625450498,3,-0.0625,0.3975,-0.0819630141898468,0.2958352543414784,,,1,1,1001,28,56,2869416.6563055064,24310.825152866157,8.507717,-1.0019255149990112,15.865231027487608,21.8,170.0,0,Still,0.283,0.7140000000000001,indie,This Tornado Loves You,Neko Case,tense-dark,2.0,Morning,Clear,Low HR,-0.019463014189846806,-0.10166474565852163
24,1,784,1625469770,2,0.5475,-0.08,-0.1203831770913375,0.4648839711080375,,,2,0,999,26,92,2874952.200000001,36216.4755211911,0.32507166,-5.55192551499901,7.359442158811284,20.166666666666668,16.0,0,Still,0.84,0.6779999999999999,hip-hop,What It Look Like,Spank Rock,happy-energetic,0.0,Afternoon,,Low HR,-0.6678831770913375,0.5448839711080374
25,1,171,1625480786,3,0.0425,0.705,0.1485579632190974,-0.2599764356334204,,,2,0,1000,25,77,2875035.600000001,35687.148921190776,0.32507166,-9.83525884833234,7.211102550927979,18.766666666666666,0.0,0,Still,0.0546,0.208,rock,Good Enough,Evanescence,sad-melancholic,3.0,Afternoon,,Low HR,0.10605796321909738,-0.9649764356334203
26,1,397,1625484247,3,0.24,-0.02,0.0998924235438758,0.3701142359510272,,,3,0,1000,25,78,2875042.9000000013,35693.16020119063,0.32507166,-12.101925514999008,5.9606114526018965,17.5,0.0,0,Still,0.8009999999999999,0.871,rock,Inside Of You,Hoobastank,happy-energetic,0.0,Evening,,Low HR,-0.1401075764561242,0.39011423595102723
27,1,367,1625494470,2,0.04,0.3075,0.0128067209671635,-0.0166487372573126,,,3,2,1002,22,93,2874955.8000000007,36219.815121190586,0.32507166,-13.368592181665674,4.145144415122617,6.366666666666666,0.0,2,Walking,0.0612,0.412,electronic,Chameleon,Trentemøller,sad-melancholic,3.0,Evening,Cloudy,Low HR,-0.0271932790328365,-0.3241487372573126
28,1,493,1625541390,2,0.0,0.0,-0.545566313201168,-0.0781209978996977,,,1,0,1001,25,78,2874986.5,36199.22092119117,0.0,18.564741151667654,11.134518400002758,70.2,1567.0,2,Walking,0.775,0.352,jazz,Sympathique,Pink Martini,calm-relaxed,1.0,Morning,,Mid HR,-0.545566313201168,-0.0781209978996977
29,1,955,1625548618,3,0.0975,0.38,-0.0025613441934327,0.2855898775677476,,,2,0,1000,28,65,2874986.5,36199.22092119117,0.0,13.41474115166766,7.9191224261277835,24.5,148.0,0,Still,0.312,0.147,country,False Knight On The Road,Fleet Foxes,sad-melancholic,3.0,Afternoon,,Mid HR,-0.1000613441934327,-0.09441012243225239
30,1,955,1625548618,3,-0.5225,0.5625,-0.0025613441934327,0.2855898775677476,,,2,0,1000,28,65,2874986.5,36199.22092119117,0.0,13.41474115166766,7.9191224261277835,24.5,148.0,0,Still,0.312,0.147,country,False Knight On The Road,Fleet Foxes,sad-melancholic,3.0,Afternoon,,Mid HR,0.5199386558065673,-0.2769101224322524
31,1,23,1625552484,4,0.0925,-0.09,0.2612571077301368,0.147277291122381,,,2,2,1000,29,63,2875042.9000000013,35693.16020119063,0.0,-1.4352588483323445,10.170545708072895,21.3,16.0,0,Still,0.1689999999999999,0.715,rock,Me And The Moon,Something Corporate,tense-dark,2.0,Afternoon,Cloudy,Low HR,0.16875710773013677,0.237277291122381
32,1,153,1625556948,4,0.04,-0.295,0.3560268428871472,0.3060806311152093,,,2,0,999,30,60,2875042.9000000013,35693.16020119063,0.0,1.035574485000989,12.710456789807184,29.033333333333335,34.0,0,Still,0.359,0.785,pop,Just Missed The Train,Kelly Clarkson,tense-dark,2.0,Afternoon,,Low HR,0.3160268428871472,0.6010806311152093
33,1,228,1625564492,4,0.01,0.515,0.2740638286973004,0.4904974130423647,,,2,0,998,29,67,2875043.7000000007,35687.92816119119,0.0,-0.16859218166567763,4.805089893944639,15.766666666666667,0.0,0,Still,0.149,0.3939999999999999,indie,In The Summertime,The Rural Alberta Advantage,sad-melancholic,3.0,Afternoon,,Low HR,0.2640638286973004,-0.024502586957635297
34,1,144,1625568018,4,0.2325,0.115,0.4174991035295323,-0.2446083704728241,,,3,0,998,29,64,2875030.3000000003,35695.052641190596,0.0,-11.268592181665674,1.4067298564006137,0.0,0.0,4,Lying,0.5429999999999999,0.602,rock,Baby Come Back,Player,sad-melancholic,3.0,Evening,,Low HR,0.18499910352953228,-0.3596083704728241
35,1,285,1625579311,4,0.38,0.025,0.4559192664310229,-0.2625377798268532,,,3,0,1000,25,81,2874951.6,36215.13968119052,0.0,9.064741151667656,10.823893322953007,20.2,19.0,0,Still,0.0333,0.3229999999999999,electronic,Weather Storm,Craig Armstrong,sad-melancholic,3.0,Evening,,Mid HR,0.07591926643102287,-0.28753777982685325
