text,label,class_name,LLM_label
"Buyer: Hey there!
Seller: Hello. Are you interested in my two beautiful tables? :)
Buyer: Yes I definitely am! I'd love a set like these for my living room! I have $720 cash that I could bring to your house in 30 minutes to pick up the tables. Would that price and timing work for you?
Seller: $720 cash and in a half hour? I can definitely agree to that. You will give them a good home, right? I do love these tables.
Buyer: of course! These will be antiques by the time I'm done with them! Thanks so much. I'll be over in 30 to pick them up!",3,furniture,
Buyer: hello,0,bike,
"Seller: Good evening
Buyer: Hi! I would love to own your Toyota.  Could we talk about the price, though?
Seller: Sure Is there something wrong with my offer?
Buyer: I'm a college student on a budget and it woud be awesome to finally get a dependable automobile.  Why are you selling?
Seller: It's a second vehicle that I really didn't need anymore. 
Buyer: 2 cars? Wow!  Well, I am on a strict budget, but I could give you $8000 cash for it. 
Seller: Hmm that's a bit more of a cut then I was thinking. How about the 8000 and a promissory for another 1000 over the next six months?
Buyer: You would do that for me?!  THat's amazing!  SUre!
Seller: okay then",1,car,
"Seller: Hey there.
Buyer: I'm very intterested in your apartment, could you tell me a little more about it? 
Seller: Yes, it is completely remodeled, 2 br, 1 bath, has a garage and other off street parking.  It is close to a grocery store and it is near the Bart.
Buyer: Sounds good. Would you be able to reduce the price? I have seen similar apartments in this area for significantly cheaper. I was thinking about $1400
Seller: I can't do !400 BUT I can do 1700 and it would include internet, water, and trash service.
Buyer: Oh wow, that sounds like quite the deal. I like not having to worry about the extra bills each month. Can I come look at the apartment today?
Seller: You can and you could move in anytime as it is available.
Buyer: that sounds wonderful, I suspect you will make a great landlord!",4,housing,
"Buyer: Hello, I like your windmill and might be interested in buying it... can you tell me a bit about it...
Seller: It's a whimsical wall structure!  Perfect for interior decoration!  And it's a pinwheel.
Buyer: How long have you owned it?  
Seller: Thirty or fifty years, It's a family heirloom of indeterminable age
Buyer: Have you cleaned it with brass cleaner at all 
Seller: Of course!  It's in super special awesome condition!
Buyer: But ...does it ''do'' anything? Does the pinwheel spin? It doesn't look like it spins...
Seller: Of course it spins!  It's a fantastical pinwheel!  It's BIG
Buyer: But it doesn't generate electricity right?... it just spins for show right?
Seller: Of course!  It's a super spinner!  Made by Curtis!
Buyer: Well, I'm not sure I believe all that... but it is nice to look at ... I could offer you 300 for it, and I could pick it up today...
Seller: That would be acceptable, at $350
Buyer: Is there any chance I could pay you 342 instead... It's a superstition thing... 350 is bad luck...
Seller: That is fine.  Unfortunately, I dislike the number $342.  Instead, $347
Buyer: Ok, sounds groovy
Seller: Dynamite!",3,furniture,
"Buyer: Hey I am interested in renting this place if it is still available?
Seller: It sure is as of now anyways
Buyer: I have 10 classmates and myself and this place would be perfect as it is close to campus.
Seller: It sounds like you need all the room you can get. Do you have any questions about it?
Buyer: Does it include any ammenities?
Seller: Oh absolutely! It is Cable/DSL Ready , 2 blocks from campus and  1.5 blocks from Telegraph avenue, it has 2 full bathrooms, washer/Dryer unit, On-Site office management team and it is a clean well-run apartment building. It has a brand new kitchen as well. 
Buyer: Would you take 9100.00 a month or maybe cover the trash and water.  We are poor graduate students.
Seller: $9300 is about the lowest I can go, it's got a brand new kitchen and the location is one that many want.
Buyer: Okay we will take it.
Seller: Awesome! Thank you for everything ",4,housing,
"Seller: Hello!
Buyer: Hi, I'm interested in your apartment. It sounds like it's really close to the bus line, isn't it?
Seller: Yes, I think you'll find it's easily within walking distance.",4,housing,
"Seller: i'm motivated to sell. make an offer. 
Buyer: Sounds like a plan! Do you have any questions about the table?
Seller: You're the buyer. I'm the seller. you have questions for me 
Buyer: Yes my apologies! Is the table used?
Seller: Yes. It's used. But in a very nice condition still. sturdy and structurally sound. I say 100 is a good price
Buyer: I would never pay the list price for a used table. How about $50?
Seller: it's an oak table. oak is an expensive wood because it's so dense and heavy. makes for great furniture wood. I'll go as low as 80 but that's about it. 
Buyer: I will pay $70, under the condition that I will come and pick up the table! Is that ok with you? You wont have to pay for shipping or the cost of gas.
Seller: 75, you come and pick it up. then that's a deal 
Buyer: Ok sounds like a plan! Will you polish it nicely for me?
Seller: no, I won't polish it. it's sold as is 
Buyer: Ok perfect! You are a great salesman. Thank you",3,furniture,
"Buyer: Hi, I'm interested in buying the matte black iPhone 6 but I have some questions.
Seller: Excellent.  Go ahead.
Buyer: First, are there any scratches, dings, or other imperfections?
Seller: The phone is practically like new.  No scratches or dings, etc.
Buyer: Great. Do you know the retail price by chance? How long have you had it? What makes it ""custom?""
Seller: I do not know the retail price offhand.
Buyer: That's okay. I can look it up.
Seller: I think I have had it like six months maybe.
Buyer: Ah, not long. Why are you getting rid of it?
Seller: IPhone 7 is out.  I want that one before the new one comes out!
Buyer: Haha I understand! It's for my husband. He broke his phone and doesn't want to spend a ton on a new one. Would you accept $125? I found a gold one for $120 earlier but it was too far. 
Seller: Ouch!  No.  I'm sorry.  I can only go as low as $300.00.  It has 64 Gigabytes!
Buyer: That might be a bit out of our price range. Does it come with a charger?
Seller: Yes, it comes with a charger, and as indicated, it has a custom paint job!  It is totally worth it.",5,phone,
"Buyer: I would like to know more about this offer.
Seller: yes great plan 
Buyer: Would you accept $35 cash 
Seller: let me check with boss he said the low he can go is 40",5,phone,
"Buyer: hi! I am very interested in your bike! are there any issues with it?
Seller: Hello! There are no issues with the bike. It works really well. I'm just leaving the area. 
Buyer: awesome! It would be perfect for me! I was wondering if you would take a little lower for it? closer to 120?
Seller: I would really prefer to stay close to the price I listed. Does $145 sound okay? The bike is very sturdy and well made.
Buyer: If you can give it to me for 140 and include a helmet I can come pick it up tonight,cash in hand.
Seller: Ok, that sounds reasonable. I'll see you tonight at 8pm!",0,bike,
